[System] Insert Collection: [posts],Data:title=est ,body=<p>test</p> ,slug=test ,status=0 ,created=0.39700000 1464240784 ,updated=0.39700000 1464240784  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:33:04]
[System] Update  Collection: [posts],Condition: _id=57468a901d9bdafe4e0041af  Data:title=est ,body=<p>test</p> ,slug=test ,status=0 ,updated=0.27100000 1464240823  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:33:43]
[System] Update  Collection: [posts],Condition: _id=57468a901d9bdafe4e0041af  Data:title=est ,body=<p>test</p> ,slug=test ,status=0 ,updated=0.39600000 1464240908  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:35:08]
[System] Update  Collection: [posts],Condition: _id=57468a901d9bdafe4e0041af  Data:title=est ,body=<p>test</p> ,slug=test ,status=0 ,updated=0.09000000 1464240947  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:35:47]
[System] Insert Collection: [langs],Data:title=Add ,lang=zh ,body=添加 ,status=0 ,created=0.52600000 1464241966 ,updated=0.52600000 1464241966  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:52:46]
[System] Insert Collection: [langs],Data:title=Edit ,lang=zh ,body=编辑 ,status=0 ,created=0.19400000 1464241976 ,updated=0.19400000 1464241976  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:52:56]
[System] Insert Collection: [langs],Data:title=CateGory ,lang=zh ,body=分类 ,status=0 ,created=0.18700000 1464241988 ,updated=0.18700000 1464241988  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:53:08]
[System] Insert Collection: [langs],Data:title=Menu ,lang=zh ,body=菜单 ,status=0 ,created=0.88400000 1464241998 ,updated=0.88400000 1464241998  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:53:18]
[System] Insert Collection: [langs],Data:title=Log ,lang=zh ,body=日志 ,status=0 ,created=0.92600000 1464242008 ,updated=0.92600000 1464242008  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:53:28]
[System] Insert Collection: [langs],Data:title=Admin User ,lang=zh ,body=管理用户 ,status=0 ,created=0.52400000 1464242019 ,updated=0.52400000 1464242019  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:53:39]
[System] Update  Collection: [category],Condition: _id=574425521d9bdafb4e0041b2  Data:status=1 ,updated=0.58900000 1464242050  IP: 127.0.0.1 User ID:57442ada1d9bdafc4e0041b7 UserName:admin	 [2016-05-26 13:54:10]
